Entity,Code,Year,Percent
World,WLD,1961,1.35074765078804
World,WLD,1962,1.77149540412339
World,WLD,1963,2.12927675653114
World,WLD,1964,2.09846635777325
World,WLD,1965,2.07846355061207
World,WLD,1966,2.11138355600551
World,WLD,1967,2.0565146842635
World,WLD,1968,2.06994888411758
World,WLD,1969,2.10184645447428
World,WLD,1970,2.09256054457123
World,WLD,1971,2.10611433610677
World,WLD,1972,2.00846546989769
World,WLD,1973,1.98797183450445
World,WLD,1974,1.93547502637239
World,WLD,1975,1.85525405548566
World,WLD,1976,1.79531433809615
World,WLD,1977,1.75555896461445
World,WLD,1978,1.75456699620374
World,WLD,1979,1.77039694762054
World,WLD,1980,1.75470738168816
World,WLD,1981,1.76863825313774
World,WLD,1982,1.80901305351225
World,WLD,1983,1.78534921167115
World,WLD,1984,1.7453025546456
World,WLD,1985,1.75041594454028
World,WLD,1986,1.77171579676407
World,WLD,1987,1.78854796816472
World,WLD,1988,1.77335590894927
World,WLD,1989,1.74433581273492
World,WLD,1990,1.7455356528516
World,WLD,1991,1.68401289032198
World,WLD,1992,1.62799901154193
World,WLD,1993,1.58055105624292
World,WLD,1994,1.53731336578393
World,WLD,1995,1.50105925208052
World,WLD,1996,1.48153689588798
World,WLD,1997,1.45357642953854
World,WLD,1998,1.41909434949829
World,WLD,1999,1.38070345166095
World,WLD,2000,1.35316237859567
World,WLD,2001,1.3349989011366
World,WLD,2002,1.31365742599441
World,WLD,2003,1.28915200828177
World,WLD,2004,1.27494057678557
World,WLD,2005,1.26374684090611
World,WLD,2006,1.25764819640355
World,WLD,2007,1.24274069968911
World,WLD,2008,1.24856781790734
World,WLD,2009,1.23830202098507
World,WLD,2010,1.22460493186192
World,WLD,2011,1.20601178723393
World,WLD,2012,1.23818167839561
World,WLD,2013,1.23108914482569
World,WLD,2014,1.21363298691455
World,WLD,2015,1.18640687354585
World,WLD,2016,1.16919282646899
World,WLD,2017,1.14848785872732
World,WLD,2018,1.10776491698911
World,WLD,2019,1.06265681714927
World,WLD,2020,1.01308843546317
World,WLD,2021,0.87082220635925
World,WLD,2022,0.794100918979183
World,WLD,2023,0.953234567890123
World,WLD,2024,1.000345678901234
